0.04853	0.04961	0.04898	0.04910	0.04984	0.05138	0.05293	0.05248	0.05043
0.04887	0.05004	0.04881	0.04827	0.04853	0.04983	0.05165	0.05145	0.04933
0.05021	0.04882	0.04527	0.04479	0.04555	0.04731	0.04945	0.04971	0.04732
0.05118	0.04842	0.04551	0.04506	0.04583	0.04770	0.04998	0.05012	0.04761
0.05135	0.04865	0.04547	0.04472	0.04511	0.04648	0.04829	0.04832	0.04580
0.05156	0.05027	0.04860	0.04783	0.04793	0.04900	0.05074	0.05064	0.04793
0.05118	0.04977	0.04736	0.04655	0.04675	0.04789	0.04956	0.04951	0.04692
0.05097	0.04843	0.04495	0.04397	0.04414	0.04531	0.04712	0.04720	0.04428
0.05048	0.04892	0.04610	0.04533	0.04561	0.04683	0.04861	0.04866	0.04569
0.05069	0.04907	0.04621	0.04551	0.04588	0.04718	0.04894	0.04900	0.04657
0.05132	0.04982	0.04719	0.04657	0.04695	0.04830	0.05013	0.05012	0.04764
0.05117	0.05114	0.04931	0.04881	0.04926	0.05069	0.05245	0.05227	0.05029
