Error;;
40;3.59E-06;3.59E-06
41;1.06E-05;1.06E-05
42;7.58E-05;7.58E-05
43;6.56E-05;6.56E-05
44;3.19E-05;3.19E-05
45;6.04E-06;6.04E-06
46;0.000205378;0.000205378
47;5.51E-05;5.51E-05
48;8.25E-06;8.25E-06
49;1.98E-06;1.98E-06
50;1.15E-05;1.15E-05
51;7.39E-07;7.39E-07
52;3.88E-05;3.88E-05
53;7.46E-05;7.46E-05
54;8.65E-05;8.65E-05
55;2.73E-05;2.73E-05
56;6.51E-05;6.51E-05
57;2.13E-05;2.13E-05
58;6.51E-06;6.51E-06
59;4.43E-05;4.43E-05
60;3.20E-05;3.20E-05
61;2.80E-05;2.80E-05
62;3.58E-05;3.58E-05
63;2.16E-06;2.16E-06
64;7.41E-06;7.41E-06
65;6.20E-07;6.20E-07
66;6.41E-05;6.41E-05
67;4.52E-06;4.52E-06
68;1.81E-05;1.81E-05
69;2.06E-06;2.06E-06
70;9.53E-07;9.53E-07
71;2.68E-06;2.68E-06
72;1.15E-05;1.15E-05
73;3.58E-05;3.58E-05
74;2.54E-06;2.54E-06
75;1.03E-06;1.03E-06
76;6.37E-06;6.37E-06
77;9.67E-07;9.67E-07
78;4.35E-06;4.35E-06
79;2.37E-06;2.37E-06
80;1.16E-05;1.16E-05
81;7.24E-05;7.24E-05
82;3.40E-05;3.40E-05
83;4.98E-05;4.98E-05
84;6.57E-06;6.57E-06
85;1.86E-06;1.86E-06
86;6.18E-06;6.18E-06
87;6.21E-06;6.21E-06
88;7.70E-07;7.70E-07
89;3.30E-05;3.30E-05
90;0.000112883;0.000112883
91;9.40E-06;9.40E-06
92;5.65E-06;5.65E-06
93;7.37E-06;7.37E-06
94;2.01E-05;2.01E-05
95;3.41E-05;3.41E-05
96;4.13E-06;4.13E-06
97;1.46E-05;1.46E-05
98;2.49E-05;2.49E-05
99;4.22E-05;4.22E-05
100;3.32E-06;3.32E-06
101;6.30E-06;6.30E-06
102;3.21E-06;3.21E-06
103;4.83E-05;4.83E-05
104;8.15E-06;8.15E-06
105;1.21E-05;1.21E-05
106;9.28E-06;9.28E-06
107;2.09E-05;2.09E-05
108;2.31E-05;2.31E-05
109;3.41E-06;3.41E-06
110;9.03E-06;9.03E-06
111;2.00E-06;2.00E-06
112;1.32E-05;1.32E-05
113;7.84E-06;7.84E-06
114;3.14E-06;3.14E-06
115;4.94E-05;4.94E-05
116;7.58E-06;7.58E-06
117;4.79E-06;4.79E-06
118;3.42E-06;3.42E-06
119;3.22E-06;3.22E-06
120;1.00E-05;1.00E-05
